iter	Logloss
0	0.6559648439
1	0.6216986953
2	0.5915059755
3	0.5707527695
4	0.5504105558
5	0.5287768362
6	0.5133683763
7	0.4964205676
8	0.4817300597
9	0.4689110918
10	0.4574732553
11	0.4494611616
12	0.4424878906
13	0.4363920547
14	0.4287416886
15	0.4220037975
16	0.4161599457
17	0.4108693223
18	0.4048106202
19	0.400513187
20	0.3962974189
21	0.3919175412
22	0.3879857757
23	0.3855063886
24	0.3830378485
25	0.3802524551
26	0.3774047647
27	0.3745770569
28	0.3717459474
29	0.3698997558
30	0.3684677147
31	0.3666864357
32	0.3644606073
33	0.3625985417
34	0.3607382091
35	0.3590482546
36	0.3578718576
37	0.3561786112
38	0.3547543762
39	0.353578173
40	0.3521444099
41	0.351089318
42	0.3499329992
43	0.3487917532
44	0.3475614205
45	0.3463298132
46	0.3453719871
47	0.3444368885
48	0.343246367
49	0.3424389276
50	0.3413539194
51	0.3406026167
52	0.3395448215
53	0.3386588394
54	0.3379375378
55	0.3369566396
56	0.3361667376
57	0.3352209516
58	0.3342168654
59	0.3336076426
60	0.3324770661
61	0.3317837758
62	0.330926451
63	0.3301466866
64	0.3293797191
65	0.3284699289
66	0.3278160969
67	0.3270078647
68	0.3262158435
69	0.3254213374
70	0.3244837291
71	0.3233053854
72	0.3225656519
73	0.321839349
74	0.3211480852
75	0.320311305
76	0.3195881124
77	0.3190775628
78	0.3185638356
79	0.3179444375
80	0.3172707069
81	0.3168498478
82	0.3159120042
83	0.3151403504
84	0.3146538828
85	0.3139736066
86	0.3133573642
87	0.3128602474
88	0.3122706029
89	0.3118133534
90	0.3111764456
91	0.3103406895
92	0.3098093482
93	0.3088701528
94	0.308383694
95	0.3077431723
96	0.307296305
97	0.3068650621
98	0.3064580704
99	0.3058610024
100	0.3051914633
101	0.3045545726
102	0.3041013899
103	0.303400323
104	0.303001148
105	0.302531006
106	0.3020123884
107	0.3015259615
108	0.3007963177
109	0.3000748457
110	0.2996381657
111	0.2992635865
112	0.2988090588
113	0.2982854671
114	0.2976030843
115	0.2969549658
116	0.2966512695
117	0.2961876337
118	0.295680223
119	0.2950915534
120	0.2946258988
121	0.2941079846
122	0.2936430419
123	0.2929555877
124	0.2921952813
125	0.2917773638
126	0.2912614665
127	0.290767968
128	0.2904090703
129	0.2898883706
130	0.2893566788
131	0.28864991
132	0.2882679708
133	0.2875856691
134	0.287309165
135	0.286817033
136	0.2863617249
137	0.2858743371
138	0.2851947884
139	0.2846912455
140	0.2844702358
141	0.2839407117
142	0.2833294129
143	0.2828619937
144	0.2825064924
145	0.2819723639
146	0.2816622799
147	0.2811425549
148	0.2804434857
149	0.2799389008
150	0.279525832
151	0.2791913227
152	0.2786750847
153	0.2781322775
154	0.2776473541
155	0.2771048401
156	0.276584649
157	0.2762043711
158	0.2758978322
159	0.2753858308
160	0.274976984
161	0.2746642554
162	0.2740930346
163	0.273581457
164	0.2729052871
165	0.2725504708
166	0.2721021945
167	0.2716584144
168	0.2709526935
169	0.2704583598
170	0.2700210723
171	0.2694901247
172	0.2690286781
173	0.2685218358
174	0.267985747
175	0.2674973215
176	0.2668732391
177	0.2663343003
178	0.2659539267
179	0.2653875999
180	0.2648421094
181	0.2643263751
182	0.2637981631
183	0.2630972147
184	0.2626227071
185	0.2620577958
186	0.2614461826
187	0.2609121573
188	0.2603189311
189	0.2597079669
190	0.2589884699
191	0.2583443759
192	0.257812849
193	0.2570061771
194	0.2565230733
195	0.2558305773
196	0.2554549247
197	0.2549344458
198	0.254230709
199	0.2537607122
200	0.2530824855
201	0.2523232726
202	0.2517406284
203	0.2509580475
204	0.2503448624
205	0.2497572992
206	0.2490206033
207	0.2485647343
208	0.2479730248
209	0.2477777368
210	0.2470303115
211	0.2463019
212	0.2456447957
213	0.2451836361
214	0.2445702015
215	0.2440685154
216	0.2432916467
217	0.2424095879
218	0.241908407
219	0.2414463672
220	0.240951288
221	0.2402521872
222	0.239708694
223	0.2391361626
224	0.2386266628
225	0.2380976481
226	0.2373151855
227	0.2368676596
228	0.2362930544
229	0.2355532956
230	0.2349013257
231	0.234464181
232	0.2338781965
233	0.2333333142
234	0.2324576809
235	0.2319511708
236	0.2313975706
237	0.2309728433
238	0.230480429
239	0.2299975311
240	0.2294688843
241	0.2287234128
242	0.228093018
243	0.2275098215
244	0.2269204507
245	0.2267208616
246	0.2264558707
247	0.2260214379
248	0.225553577
249	0.2247577644
250	0.2241792596
251	0.2234814602
252	0.2229661998
253	0.2222958577
254	0.2219201415
255	0.2211551402
256	0.2206618153
257	0.2199998807
258	0.2195503781
259	0.2191665397
260	0.2186719466
261	0.2182991963
262	0.2175990601
263	0.2170829976
264	0.2164406392
265	0.2159434823
266	0.2155798731
267	0.2148391991
268	0.214488757
269	0.2137890448
270	0.2133302556
271	0.2128944783
272	0.212312799
273	0.2119794612
274	0.2113908516
275	0.2109171273
276	0.2103713292
277	0.2101097578
278	0.2097567812
279	0.2093001817
280	0.2087517923
281	0.2081883532
282	0.2076931175
283	0.2072239761
284	0.2065770311
285	0.2060086482
286	0.2055266587
287	0.2050357458
288	0.204668312
289	0.2041760974
290	0.2036168025
291	0.2031099743
292	0.2024547951
293	0.20202601
294	0.2014026577
295	0.2009593477
296	0.2003639447
297	0.1998753426
298	0.199474322
299	0.19906526
300	0.1986074592
301	0.1980932607
302	0.19766435
303	0.1972506854
304	0.1966766386
305	0.1961539853
306	0.1956300385
307	0.1952175917
308	0.194854293
309	0.1943477667
310	0.1938028071
311	0.1933461362
312	0.192831983
313	0.1925071026
314	0.1920479647
315	0.1916267595
316	0.1913851254
317	0.1909658616
318	0.1903417779
319	0.1898251978
320	0.1894135226
321	0.1888931858
322	0.1884484583
323	0.1881067467
324	0.1876992236
325	0.1872679617
326	0.186875506
327	0.1864456046
328	0.1859344964
329	0.1853785634
330	0.1849783827
331	0.1846095707
332	0.1841480776
333	0.1838567484
334	0.1833371341
335	0.1829352303
336	0.1826353683
337	0.1822382741
338	0.1819026368
339	0.181444697
340	0.1810352584
341	0.1805374399
342	0.1800870607
343	0.1795107726
344	0.1791709775
345	0.1787789911
346	0.1782394241
347	0.1778281843
348	0.1773695319
349	0.1771816389
350	0.1768597246
351	0.1764109594
352	0.1758338343
353	0.1755226244
354	0.1750986953
355	0.1746737059
356	0.1743500706
357	0.1738735835
358	0.1735259926
359	0.1730655171
360	0.1726788922
361	0.1723931203
362	0.1719164891
363	0.1714754194
364	0.1708823251
365	0.1704919685
366	0.1700477548
367	0.1697627781
368	0.1694106421
369	0.1690368359
370	0.1687298385
371	0.16825145
372	0.1678030749
373	0.1673728884
